,candidato,municipio,local,zona,secao,turno,votos_recebidos,ds_grau_escolaridade_ensino_fundamental_completo,ds_grau_escolaridade_ensino_médio_incompleto,ds_grau_escolaridade_analfabeto,ds_grau_escolaridade_ensino_médio_completo,ds_grau_escolaridade_superior_completo,ds_grau_escolaridade_lê_e_escreve,ds_grau_escolaridade_ensino_fundamental_incompleto,ds_grau_escolaridade_superior_incompleto,ds_raca_cor_não_informado,ds_raca_cor_preta,ds_raca_cor_parda,ds_raca_cor_branca,ds_raca_cor_amarela,ds_raca_cor_indígena,ds_faixa_etaria_45_a_49_anos,ds_faixa_etaria_50_a_54_anos,ds_faixa_etaria_40_a_44_anos,ds_faixa_etaria_21_a_24_anos,ds_faixa_etaria_25_a_29_anos,ds_faixa_etaria_19_anos,ds_faixa_etaria_20_anos,ds_faixa_etaria_18_anos,ds_faixa_etaria_17_anos,ds_faixa_etaria_16_anos,ds_faixa_etaria_55_a_59_anos,ds_faixa_etaria_85_a_89_anos,ds_faixa_etaria_90_a_94_anos,ds_faixa_etaria_80_a_84_anos,ds_faixa_etaria_75_a_79_anos,ds_faixa_etaria_70_a_74_anos,ds_faixa_etaria_65_a_69_anos,ds_faixa_etaria_35_a_39_anos,ds_faixa_etaria_95_a_99_anos,ds_faixa_etaria_100_anos_ou_mais,ds_faixa_etaria_60_a_64_anos,ds_faixa_etaria_30_a_34_anos,ds_faixa_etaria_inválida,ds_genero_feminino,ds_genero_masculino,eleitores_totais,percentual_votos
499,SEBASTIAO BOCALOM RODRIGUES,1392,2950,1,523,1,96,10,63,16,63,4,15,58,3,187,6,35,4,0,0,10,11,18,39,72,1,9,6,2,1,4,1,0,3,3,4,7,18,0,0,8,15,0,113,119,232,0.41379310344827586
500,SEBASTIAO BOCALOM RODRIGUES,1392,2801,1,490,1,149,22,61,27,81,10,26,96,16,290,5,39,4,1,0,33,34,48,9,18,7,7,7,4,3,22,2,0,10,10,18,21,38,0,0,20,28,0,175,164,339,0.43952802359882004
501,SEBASTIAO BOCALOM RODRIGUES,1392,2666,1,481,1,151,18,61,23,77,7,26,90,5,266,3,32,6,0,0,25,19,33,9,61,8,4,8,3,1,16,2,0,2,8,10,19,16,1,0,20,42,0,158,149,307,0.49185667752442996
502,SEBASTIAO BOCALOM RODRIGUES,1392,2526,1,426,1,146,17,54,44,57,8,36,78,6,270,5,23,2,0,0,39,27,51,5,25,2,3,3,3,0,22,5,0,5,7,10,14,26,0,0,9,44,0,153,147,300,0.4866666666666667
503,SEBASTIAO BOCALOM RODRIGUES,1392,2933,1,839,1,80,6,42,3,52,17,6,29,15,25,9,107,25,3,1,12,10,17,21,15,13,10,15,8,8,9,0,0,0,0,2,0,14,0,0,3,13,0,95,75,170,0.47058823529411764
504,SEBASTIAO BOCALOM RODRIGUES,1392,1996,1,803,1,116,8,101,5,98,6,14,81,15,285,2,32,8,0,1,10,7,31,136,44,6,10,1,2,0,8,0,0,0,2,3,6,23,0,0,7,32,0,146,182,328,0.35365853658536583
505,SEBASTIAO BOCALOM RODRIGUES,1392,1678,9,283,1,120,10,108,1,105,38,5,25,52,308,0,20,15,0,1,17,11,18,49,140,3,6,7,4,0,5,1,0,1,3,3,5,29,1,0,8,33,0,174,170,344,0.3488372093023256
506,SEBASTIAO BOCALOM RODRIGUES,1392,1929,9,288,1,113,15,87,9,89,16,11,36,11,254,1,13,5,1,0,11,13,19,46,101,1,1,0,1,1,9,1,1,1,0,5,7,31,0,0,4,21,0,150,124,274,0.4124087591240876
507,SEBASTIAO BOCALOM RODRIGUES,1392,1333,9,138,1,137,16,36,4,127,41,18,47,45,305,2,22,5,0,0,30,25,38,24,13,5,3,2,1,1,20,4,0,5,1,4,12,78,0,0,19,49,0,188,146,334,0.4101796407185629
508,SEBASTIAO BOCALOM RODRIGUES,1392,2054,1,533,1,131,11,112,8,102,22,14,40,22,266,0,53,11,1,0,14,13,20,68,90,11,13,10,1,3,15,2,0,0,1,4,4,31,0,0,7,24,0,175,156,331,0.3957703927492447
